,date,change
0,2020-01-21 14:02:00,-4.0
1,2020-01-21 14:07:00,1.0
2,2020-01-23 13:37:00,-4.0
3,2020-01-23 13:38:00,-4.0
4,2020-01-23 13:39:00,8.0
5,2020-01-23 13:40:00,1.0
6,2020-01-23 13:41:00,5.0
7,2020-01-23 13:42:00,9.0
8,2020-01-23 13:45:00,8.0
9,2020-02-03 14:59:00,33.0
10,2020-02-10 10:10:00,1.0
11,2020-02-28 14:52:00,-2.0
12,2020-02-28 14:53:00,-2.0
13,2020-02-28 15:00:00,36.0
14,2020-03-09 11:17:00,15.0
15,2020-03-13 11:30:00,14.0
16,2020-03-13 13:36:00,-1.0
17,2020-03-16 11:16:00,-5.0
18,2020-03-16 11:17:00,-4.0
19,2020-03-16 13:44:00,6.0
20,2020-03-16 15:00:00,2.0
21,2020-03-17 10:14:00,16.0
22,2020-03-17 10:37:00,5.0
23,2020-03-17 10:50:00,3.0
24,2020-03-17 10:51:00,7.0
25,2020-03-17 13:31:00,4.0
26,2020-03-18 13:39:00,1.0
27,2020-03-19 10:07:00,-18.0
28,2020-03-19 10:12:00,-8.0
29,2020-03-19 10:13:00,-2.0
30,2020-03-19 10:14:00,14.0
31,2020-03-19 10:31:00,20.0
32,2020-03-19 10:32:00,14.0
33,2020-03-19 10:35:00,-7.0
34,2020-03-19 10:41:00,15.0
35,2020-03-19 10:55:00,-4.0
36,2020-03-19 11:01:00,11.0
37,2020-03-20 11:21:00,8.0
38,2020-03-20 13:39:00,3.0
39,2020-03-25 10:48:00,0.0
40,2020-03-25 10:49:00,1.0
41,2020-03-26 14:47:00,4.0
42,2020-03-26 14:55:00,-2.0
43,2020-03-26 14:56:00,23.0
44,2020-03-26 14:57:00,26.0
45,2020-03-26 14:58:00,27.0
46,2020-03-26 14:59:00,24.0
47,2020-03-26 15:00:00,29.0
48,2020-03-27 11:07:00,-13.0
49,2020-03-27 11:08:00,-5.0
50,2020-03-27 11:09:00,1.0
51,2020-03-27 11:11:00,3.0
52,2020-03-27 11:20:00,7.0
53,2020-03-30 10:34:00,3.0
54,2020-03-30 13:53:00,6.0
55,2020-04-01 10:00:00,-21.0
56,2020-04-01 10:01:00,1.0
57,2020-04-01 10:02:00,26.0
58,2020-04-01 10:03:00,13.0
59,2020-04-01 10:04:00,-2.0
60,2020-04-01 10:05:00,-2.0
61,2020-04-01 10:38:00,11.0
62,2020-04-01 14:20:00,7.0
63,2020-04-01 14:22:00,5.0
64,2020-04-01 14:44:00,6.0
65,2020-04-01 14:45:00,14.0
66,2020-04-02 14:24:00,4.0
67,2020-04-03 10:37:00,-1.0
68,2020-04-03 14:08:00,3.0
69,2020-04-03 14:55:00,4.0
70,2020-04-16 14:39:00,6.0
71,2020-04-16 14:40:00,6.0
72,2020-04-16 14:41:00,3.0
73,2020-04-16 14:56:00,6.0
74,2020-04-16 15:00:00,0.0
75,2020-06-22 15:00:00,1.0
76,2020-06-23 10:11:00,-9.0
77,2020-06-23 10:14:00,2.0
78,2020-06-23 10:38:00,-1.0
79,2020-06-24 15:00:00,-20.0
80,2020-07-21 13:34:00,3.0
81,2020-07-21 14:55:00,-2.0
82,2020-07-22 22:01:00,6.0
83,2020-07-22 22:02:00,5.0
84,2020-07-22 22:03:00,5.0
85,2020-07-22 22:04:00,1.0
86,2020-07-23 10:51:00,6.0
87,2020-07-24 13:47:00,-2.0
88,2020-07-24 13:51:00,10.0
89,2020-07-24 13:52:00,7.0
90,2020-07-24 13:53:00,3.0
91,2020-07-24 14:30:00,1.0
92,2020-07-24 14:31:00,5.0
93,2020-07-24 14:35:00,10.0
94,2020-07-24 14:44:00,-4.0
95,2020-07-27 11:09:00,9.0
96,2020-07-27 11:10:00,1.0
97,2020-07-27 11:11:00,6.0
98,2020-07-27 11:12:00,8.0
99,2020-09-11 11:01:00,7.0
100,2020-09-15 14:28:00,-2.0
101,2020-09-15 14:31:00,-1.0
102,2020-09-15 22:02:00,3.0
103,2020-09-16 13:32:00,7.0
104,2020-09-16 13:37:00,-2.0
105,2020-09-16 22:01:00,5.0
106,2020-09-17 10:04:00,-1.0
107,2020-09-17 10:06:00,-6.0
108,2020-09-17 10:11:00,8.0
109,2020-09-17 10:13:00,2.0
110,2020-09-17 10:31:00,3.0
111,2020-09-17 10:32:00,4.0
112,2020-09-18 10:11:00,1.0
113,2020-09-18 10:13:00,-2.0
114,2020-09-21 22:09:00,0.0
115,2020-09-21 22:10:00,-2.0
116,2020-09-21 22:13:00,8.0
117,2020-09-21 22:30:00,-3.0
118,2020-09-21 22:33:00,-13.0
119,2020-09-21 22:36:00,-14.0
120,2020-09-21 22:37:00,3.0
121,2020-09-21 22:39:00,17.0
122,2020-09-21 22:40:00,12.0
123,2020-09-21 22:41:00,15.0
124,2020-09-21 22:45:00,11.0
125,2020-09-22 22:57:00,3.0
126,2020-09-23 13:47:00,6.0
127,2020-09-23 14:12:00,-7.0
128,2020-09-23 14:13:00,-4.0
129,2020-09-23 14:14:00,8.0
130,2020-09-23 14:15:00,11.0
131,2020-09-23 14:30:00,14.0
132,2020-09-23 14:31:00,9.0
133,2020-09-23 14:32:00,7.0
134,2020-09-23 14:33:00,0.0
135,2020-09-23 14:34:00,4.0
136,2020-09-23 22:55:00,1.0
137,2020-09-23 22:56:00,-24.0
138,2020-09-25 22:59:00,-13.0
139,2020-09-28 11:23:00,-8.0
140,2020-09-28 11:24:00,-7.0
141,2020-09-28 11:25:00,-5.0
142,2020-09-28 11:26:00,2.0
143,2020-09-28 11:27:00,6.0
144,2020-10-09 10:52:00,4.0
145,2020-10-12 10:02:00,-8.0
146,2020-10-12 22:31:00,1.0
147,2020-10-12 22:32:00,1.0
148,2020-10-16 22:01:00,3.0
149,2020-10-16 22:03:00,5.0
150,2020-10-16 22:04:00,8.0
151,2020-10-16 22:05:00,0.0
152,2020-10-16 22:06:00,-1.0
153,2020-10-20 13:46:00,0.0
154,2020-10-20 13:49:00,1.0
155,2020-10-20 14:40:00,-6.0
156,2020-10-20 14:55:00,-5.0
157,2020-10-20 14:57:00,2.0
158,2020-10-20 14:58:00,4.0
159,2020-10-20 15:00:00,4.0
160,2020-10-20 22:56:00,11.0
161,2020-10-20 22:57:00,10.0
162,2020-10-20 22:58:00,5.0
163,2020-10-20 22:59:00,11.0
164,2020-10-22 14:59:00,-5.0
165,2020-10-30 13:35:00,-2.0
166,2020-11-11 10:31:00,3.0
167,2020-11-13 10:49:00,1.0
168,2020-11-13 10:50:00,4.0
169,2020-11-18 14:45:00,9.0
170,2020-11-20 22:38:00,-11.0
171,2020-11-20 22:39:00,-10.0
172,2020-11-20 22:40:00,-5.0
173,2020-11-20 22:41:00,1.0
174,2020-11-20 22:43:00,-1.0
175,2020-11-20 22:44:00,-1.0
176,2020-11-20 22:50:00,7.0
177,2020-11-20 22:51:00,7.0
178,2020-11-20 22:52:00,2.0
179,2020-11-20 22:53:00,0.0
180,2020-11-30 11:25:00,5.0
181,2020-11-30 11:26:00,3.0
182,2020-11-30 22:35:00,-1.0
183,2020-11-30 22:50:00,6.0
184,2020-11-30 22:51:00,5.0
185,2020-12-03 22:00:00,12.0
186,2020-12-22 11:20:00,-6.0
187,2020-12-22 11:21:00,1.0
188,2020-12-22 11:23:00,1.0
189,2020-12-22 11:24:00,-1.0
190,2020-12-22 11:25:00,0.0
191,2020-12-22 11:26:00,-11.0
192,2020-12-22 14:00:00,-3.0
193,2020-12-22 14:01:00,-8.0
194,2020-12-22 14:06:00,-8.0
195,2020-12-22 14:09:00,9.0
196,2020-12-22 14:17:00,-1.0
197,2020-12-22 14:19:00,4.0
198,2020-12-22 14:20:00,8.0
199,2020-12-22 14:21:00,9.0
200,2020-12-22 22:34:00,-1.0
201,2020-12-22 22:35:00,-2.0
202,2020-12-22 22:36:00,-4.0
203,2020-12-22 22:59:00,8.0
204,2020-12-23 13:34:00,8.0
205,2020-12-24 22:01:00,4.0
206,2020-12-24 22:39:00,-3.0
207,2020-12-24 22:43:00,-1.0
208,2020-12-24 22:44:00,-3.0
209,2020-12-24 22:45:00,0.0
210,2020-12-24 22:46:00,2.0
211,2020-12-24 22:47:00,-1.0
212,2020-12-24 22:48:00,-4.0
213,2020-12-24 22:57:00,9.0
214,2020-12-25 22:52:00,-11.0
215,2020-12-25 22:53:00,-5.0
216,2020-12-25 22:54:00,-8.0
217,2020-12-25 22:56:00,13.0
218,2020-12-25 22:57:00,17.0
219,2020-12-25 22:58:00,17.0
220,2020-12-28 14:34:00,0.0
221,2020-12-28 14:35:00,3.0
222,2020-12-28 14:37:00,6.0
223,2020-12-28 14:38:00,6.0
224,2020-12-28 22:48:00,10.0
225,2020-12-28 22:49:00,10.0
226,2020-12-28 22:50:00,9.0
227,2020-12-29 11:17:00,8.0
228,2020-12-29 22:57:00,64.0
229,2020-12-31 10:32:00,7.0
